row-column,h1,h2,h3,h4
9-5,7.881375311908686,1.5897350694127743,1.3086098128946104,7.6002500553905215
9-6,7.6002500553905215,1.3086098128946104,1.5897350694127743,7.881375311908686
9-7,7.31978910121239,1.0281488587164778,1.8701960235909074,8.16183626608682
9-8,7.041300321738932,0.7496600792430206,2.148684803064365,8.440325045560275
9-9,6.766031064751133,0.4743908222552218,2.4239540600521634,8.715594302548075
9-10,6.495133124703131,0.20349288220721995,2.6948520001001643,8.986492242596077
10-1,9.189985124803297,2.4913591178929444,0.0,6.698626006910353
10-2,8.919087184755295,2.2204611778449426,0.27089794004800094,6.969523946958354
10-3,8.643817927767497,1.9451919208571442,0.5461671970357997,7.244793203946153
10-4,8.36532914829404,1.6667031413836866,0.8246559765092569,7.52328198341961
10-5,8.084868194115908,1.3862421872055535,1.1051169306873896,7.803742937597743
10-6,7.803742937597743,1.1051169306873896,1.3862421872055535,8.084868194115908
10-7,7.52328198341961,0.8246559765092569,1.6667031413836866,8.36532914829404
10-8,7.244793203946153,0.5461671970357997,1.9451919208571442,8.643817927767497
10-9,6.969523946958354,0.27089794004800094,2.2204611778449426,8.919087184755295
10-10,6.698626006910353,0.0,2.4913591178929444,9.189985124803297
