Angle Calculation Solar Tracker Spreadsheet
row-column,h1,h2,h3,h4
1-1,4.93458447837,2.29946407842,1.08956550145,3.7246859014
1-2,4.63294156437,1.99782116442,1.39120841545,4.0263288154
1-3,4.32963518989,1.69451478993,1.69451478993,4.32963518989
1-4,4.0263288154,1.39120841545,1.99782116442,4.63294156437
1-5,3.7246859014,1.08956550145,2.29946407842,4.93458447837
2-1,5.21923306792,2.01481548887,0.804916911898,4.00933449095
2-2,4.91759015392,1.71317257487,1.1065598259,4.31097740495
2-3,4.61428377944,1.40986620038,1.40986620038,4.61428377944
2-4,4.31097740495,1.1065598259,1.71317257487,4.91759015392
2-5,4.00933449095,0.804916911898,2.01481548887,5.21923306792
3-1,5.49623933421,1.73780922258,0.527910645609,4.28634075724
3-2,5.19459642021,1.43616630858,0.829553559612,4.58798367124
3-3,4.89129004573,1.1328599341,1.1328599341,4.89129004573
3-4,4.58798367124,0.829553559612,1.43616630858,5.19459642021
3-5,4.28634075724,0.527910645609,1.73780922258,5.49623933421
4-1,5.7647573532,1.46929120359,0.259392626617,4.55485877623
4-2,5.4631144392,1.16764828959,0.56103554062,4.85650169023
4-3,5.15980806472,0.864341915104,0.864341915104,5.15980806472
4-4,4.85650169023,0.56103554062,1.16764828959,5.4631144392
4-5,4.55485877623,0.259392626617,1.46929120359,5.7647573532
5-1,6.02414997982,1.20989857697,0,4.81425140285
5-2,5.72250706582,0.90825566297,0.301642914003,5.11589431685
5-3,5.41920069133,0.604949288487,0.604949288487,5.41920069133
5-4,5.11589431685,0.301642914003,0.90825566297,5.72250706582
5-5,4.81425140285,0,1.20989857697,6.02414997982
